model,task,baseline_strategy,comparison_strategy,n_total_examples,correct_to_correct,correct_to_incorrect,incorrect_to_correct,incorrect_to_incorrect,missing,revision_success_rate,error_amplification_rate,net_gain_examples,net_gain_rate
claude,arc,self_refine_draft,self_refine_final,200,181.0,2.0,8.0,9.0,0,0.47058823529411764,0.01092896174863388,6.0,0.03
claude,gsm8k,self_refine_draft,self_refine_final,200,27.0,0.0,167.0,6.0,0,0.9653179190751445,0.0,167.0,0.835
claude,humaneval,self_refine_draft,self_refine_final,40,0.0,0.0,39.0,1.0,0,0.975,0.0,39.0,0.975
claude,truthfulqa,self_refine_draft,self_refine_final,200,143.0,11.0,18.0,28.0,0,0.391304347826087,0.07142857142857142,7.0,0.035
gpt,arc,self_refine_draft,self_refine_final,200,186.0,8.0,3.0,3.0,0,0.5,0.041237113402061855,-5.0,-0.025
gpt,gsm8k,self_refine_draft,self_refine_final,200,165.0,1.0,27.0,7.0,0,0.7941176470588235,0.006024096385542169,26.0,0.13
gpt,humaneval,self_refine_draft,self_refine_final,40,0.0,0.0,39.0,1.0,0,0.975,0.0,39.0,0.975
gpt,truthfulqa,self_refine_draft,self_refine_final,200,152.0,18.0,8.0,22.0,0,0.26666666666666666,0.10588235294117647,-10.0,-0.05
kimi,arc,self_refine_draft,self_refine_final,200,187.0,2.0,3.0,8.0,0,0.2727272727272727,0.010582010582010581,1.0,0.005
kimi,gsm8k,self_refine_draft,self_refine_final,200,99.0,9.0,55.0,37.0,0,0.5978260869565217,0.08333333333333333,46.0,0.23
kimi,humaneval,self_refine_draft,self_refine_final,40,0.0,0.0,39.0,1.0,0,0.975,0.0,39.0,0.975
kimi,truthfulqa,self_refine_draft,self_refine_final,200,137.0,37.0,10.0,16.0,0,0.38461538461538464,0.21264367816091953,-27.0,-0.135
llama,arc,self_refine_draft,self_refine_final,200,119.0,36.0,8.0,37.0,0,0.17777777777777778,0.23225806451612904,-28.0,-0.14
llama,gsm8k,self_refine_draft,self_refine_final,200,1.0,2.0,92.0,105.0,0,0.467005076142132,0.6666666666666666,90.0,0.45
llama,humaneval,self_refine_draft,self_refine_final,40,0.0,0.0,4.0,36.0,0,0.1,0.0,4.0,0.1
llama,truthfulqa,self_refine_draft,self_refine_final,200,52.0,30.0,2.0,116.0,0,0.01694915254237288,0.36585365853658536,-28.0,-0.14
qwen,arc,self_refine_draft,self_refine_final,200,172.0,8.0,0.0,20.0,0,0.0,0.044444444444444446,-8.0,-0.04
qwen,gsm8k,self_refine_draft,self_refine_final,200,26.0,17.0,8.0,149.0,0,0.050955414012738856,0.3953488372093023,-9.0,-0.045
qwen,humaneval,self_refine_draft,self_refine_final,40,0.0,0.0,22.0,18.0,0,0.55,0.0,22.0,0.55
qwen,truthfulqa,self_refine_draft,self_refine_final,200,129.0,5.0,3.0,63.0,0,0.045454545454545456,0.03731343283582089,-2.0,-0.01
